CodDepto;NoMDepto;CodMunicipio;NomMunicipio;superficie;Urbana;Rural
5; Antioquia ;5002;"Abejorral 	";497;9048;12198
5; Antioquia ;5004;"Abriaqu° 	";290;1003;1861
5; Antioquia ;5021;"Alejandr°a 	";151;2889;2031
5; Antioquia ;5030;"Amag† 	";85;16957;15805
5; Antioquia ;5031;"Amalfi 	";1224;17051;11306
5; Antioquia ;5034;"Andes 	";449;23875;22414
5; Antioquia ;5036;"Angel¢polis 	";87;2658;3459
5; Antioquia ;5038;"Angostura 	";392;3331;8750
5; Antioquia ;5040;"Anor° 	";1447;9398;10613
5; Antioquia ;5044;"Anz† 	";256;1753;5755
5; Antioquia ;5045;"Apartad¢ 	";607;113638;20173
5; Antioquia ;5051;"Arboletes 	";718;12183;19770
5; Antioquia ;5055;"Argelia 	";257;3961;3941
5; Antioquia ;5059;"Armenia 	";111;2063;3251
5; Antioquia ;5079;"Barbosa 	";208;26942;29986
5; Antioquia ;5088;"Bello 	";142;562880;15496
5; Antioquia ;5086;"Belmira 	";279;2042;4363
5; Antioquia ;5091;"Betania 	";170;4278;6492
5; Antioquia ;5093;"Betulia 	";255;5439;11209
5; Antioquia ;5107;"Brice§o 	";406;3226;5278
5; Antioquia ;5113;"Buritic† 	";368;2930;7159
5; Antioquia ;5120;"C†ceres 	";1996;7556;24242
5; Antioquia ;5125;"Caicedo 	";221;2263;6677
5; Antioquia ;5129;"Caldas 	";133;71597;15788
5; Antioquia ;5134;"Campamento 	";200;3183;6497
5; Antioquia ;5138;"Ca§asgordas 	";391;6158;10129
5; Antioquia ;5142;"Caracol° 	";260;3033;1713
5; Antioquia ;5145;"Caramanta 	";86;2460;2408
5; Antioquia ;5147;"Carepa 	";380;39778;13794
5; Antioquia ;5148;"Carmen de Viboral 	";448;3228;932
5; Antioquia ;5150;"Carolina del Pr°ncipe 	";200;89344;10615
5; Antioquia ;5154;"Caucasia 	";1411;53559;9119
5; Antioquia ;5172;"Chigorod¢ 	";608;9242;1164
5; Antioquia ;5190;"Cisneros 	";46;17674;9883
5; Antioquia ;5101;"Ciudad Bol°var 	";285;7514;8020
5; Antioquia ;5197;"Cocorn† 	";210;2303;2680
5; Antioquia ;5206;"Concepci¢n 	";167;8890;13823
5; Antioquia ;5209;"Concordia 	";231;71085;14621
5; Antioquia ;5212;"Copacabana 	";70;10696;13925
5; Antioquia ;5234;"Dabeiba 	";1883;14022;6623
5; Antioquia ;5237;"Donmat°as 	";181;3035;9673
5; Antioquia ;5240;"EbÇjico 	";235;37810;18582
5; Antioquia ;5250;"El Bagre 	";1563;40535;25018
5; Antioquia ;5541;"El Pe§ol 	";143;13029;9769
5; Antioquia ;5607;"El Retiro 	";273;28404;9932
5; Antioquia ;5697;"El Santuario 	";75;6784;5501
5; Antioquia ;5264;"Entrerr°os 	";219;245763;7936
